force,omega,beta1,abs_X1,abs_X3
4.326081105224148793e-01,4.161621268681046093e-01,2.696452935683147367e-01,4.737298417183356536e-01,2.688201884126518879e-23
4.330204084345092852e-01,4.166196418371231336e-01,2.696344472516169488e-01,4.738860078294883649e-01,3.422628045450736600e-23
4.335729407627842980e-01,4.170785676850746748e-01,2.696211397620439376e-01,4.741525898246173876e-01,3.384411600691600871e-23
4.342554733762510333e-01,4.175436024583615846e-01,2.696047584267574626e-01,4.745280949762350486e-01,4.906303334834859017e-24
4.350555454708634473e-01,4.180196175510427214e-01,2.695847002200700837e-01,4.750095405676651450e-01,1.477156669833427414e-23
4.359580803384515701e-01,4.185118279661023677e-01,2.695603686482173078e-01,4.755921781224636824e-01,7.657642023873208642e-24
4.369450187276964215e-01,4.190259859226912464e-01,2.695311727247055034e-01,4.762692097827457283e-01,2.578201924344502710e-23
4.379950386314349076e-01,4.195686163500416122e-01,2.694965267171217094e-01,4.770315452110535093e-01,1.974655727034282725e-23
4.390834349480992049e-01,4.201473206696986207e-01,2.694558482814179978e-01,4.778676628666395088e-01,1.902203391568151467e-23
4.401822261990688268e-01,4.207711879225917717e-01,2.694085511757576268e-01,4.787636478109770777e-01,2.292621230332748794e-23
4.412605245327411163e-01,4.214513721885573827e-01,2.693540270831534800e-01,4.797034725156912871e-01,6.058880118102612769e-24
4.422851467689733473e-01,4.222019267619041005e-01,2.692916093116174414e-01,4.806695642595431583e-01,1.171433202736828732e-23
4.432213666100650595e-01,4.230410369693472505e-01,2.692205092369108765e-01,4.816436685029782949e-01,8.364134230126619532e-24
4.440336308719434744e-01,4.239928805025454661e-01,2.691397137824827479e-01,4.826079905973301720e-01,3.888541593548650064e-24
4.446860082295682748e-01,4.250904953391771435e-01,2.690478278105111754e-01,4.835466083550811200e-01,1.211545756640262583e-23
4.451421229756129527e-01,4.263802998267697264e-01,2.689428375079782052e-01,4.844472348002789031e-01,2.110822039953769485e-28
4.453643628699244239e-01,4.279293580210823400e-01,2.688217595536442905e-01,4.853036311751707799e-01,3.538811380738956990e-28
4.453123111354609365e-01,4.298371489396067280e-01,2.686801358115780691e-01,4.861194341261036445e-01,4.083911231449482892e-28
4.449409874637260121e-01,4.322540860180700828e-01,2.685113839098888788e-01,4.869150824987079629e-01,6.727646093409508463e-28
4.442019007908811212e-01,4.354065940592329875e-01,2.683063332640601706e-01,4.877410793556126167e-01,4.378471189146824755e-27
4.430576756962945617e-01,4.396111486694743165e-01,2.680545429743570462e-01,4.887013087225531849e-01,8.346168290918883309e-27
